UNIGRAM MODEL: 63 distinct characters, 163898 total characters
 : 0.1357368607304543 (22247)
!: 3.477772761107518E-4 (57)
": 9.762169153986016E-5 (16)
%: 9.15203358186189E-5 (15)
(: 2.440542288496504E-4 (40)
): 2.7456100745585667E-4 (45)
,: 0.01070177793505717 (1754)
-: 0.0015924538432439688 (261)
.: 0.005802389290900438 (951)
/: 2.3795287312840913E-4 (39)
0: 9.39608781071154E-4 (154)
1: 7.992775994826051E-4 (131)
2: 5.61324726354196E-4 (92)
3: 1.1592575870358394E-4 (19)
4: 1.4643253730979024E-4 (24)
5: 2.928650746195805E-4 (48)
6: 1.7083796019475527E-4 (28)
7: 1.1592575870358394E-4 (19)
8: 1.342298258673077E-4 (22)
9: 9.518114925136365E-4 (156)
:: 2.2575016168592662E-4 (37)
;: 1.1592575870358394E-4 (19)
?: 1.40331181588549E-4 (23)
A: 0.040610623680581825 (6656)
B: 0.014936118805598603 (2448)
C: 0.023502422238221334 (3852)
D: 0.042929138854653506 (7036)
E: 0.13263127066834252 (21738)
F: 0.013892786977266348 (2277)
G: 0.026516491964514517 (4346)
H: 0.03524753200161076 (5777)
I: 0.07188617310766453 (11782)
J: 0.0010982440298234267 (180)
K: 0.01167189349473453 (1913)
L: 0.02551586962623095 (4182)
M: 0.021611001964636542 (3542)
N: 0.08605962244810797 (14105)
O: 0.023093631404898167 (3785)
P: 0.007919559726171156 (1298)
Q: 1.4643253730979024E-4 (24)
R: 0.06503435063271058 (10659)
S: 0.048054277660496164 (7876)
T: 0.048737629501275186 (7988)
U: 0.033093753432012596 (5424)
V: 0.0072728160197195815 (1192)
W: 0.012477272449938376 (2045)
X: 3.05067786062063E-4 (50)
Y: 1.9524338307972032E-4 (32)
Z: 0.009933007114180771 (1628)
?: 3.05067786062063E-4 (50)
?: 7.931762437613638E-5 (13)
?: 7.931762437613638E-5 (13)
?: 0.0038377527486607526 (629)
¡: 1.830406716372378E-5 (3)
¤: 0.005967125895373952 (978)
©: 1.220271144248252E-5 (2)
­: 1.220271144248252E-5 (2)
³: 3.05067786062063E-5 (5)
¶: 0.002086663656664511 (342)
º: 1.830406716372378E-5 (3)
¼: 0.005448510659068445 (893)
Â: 2.440542288496504E-5 (4)
Ã: 0.01787087090751565 (2929)
Unigram checksum is 1.0000000000000004


BIGRAM MODEL: 
	 : 22247
		 ": 7.191980941250505E-4 (16)
		 %: 6.292983323594192E-4 (14)
		 (: 0.0011237470220703915 (25)
		 ): 8.989976176563132E-5 (2)
		 ,: 8.989976176563132E-5 (2)
		 -: 0.005169236301523801 (115)
		 .: 4.494988088281566E-5 (1)
		 1: 0.003191441542679912 (71)
		 2: 0.00238234368678923 (53)
		 3: 2.2474940441407832E-4 (5)
		 4: 2.2474940441407832E-4 (5)
		 5: 1.7979952353126263E-4 (4)
		 6: 8.989976176563132E-5 (2)
		 7: 8.989976176563132E-5 (2)
		 8: 1.3484964264844697E-4 (3)
		 9: 2.6969928529689395E-4 (6)
		 A: 0.06967231536836427 (1550)
		 B: 0.04688272576077673 (1043)
		 C: 0.0019328448779610734 (43)
		 D: 0.18029397222097363 (4011)
		 E: 0.06868341798894233 (1528)
		 F: 0.03362251090034611 (748)
		 G: 0.03384726030476019 (753)
		 H: 0.032363914235627275 (720)
		 I: 0.06490762799478582 (1444)
		 J: 0.006832381894187981 (152)
		 K: 0.030565919000314648 (680)
		 L: 0.01613700723693082 (359)
		 M: 0.03969074481952623 (883)
		 N: 0.026969928529689397 (600)
		 O: 0.006113183800062929 (136)
		 P: 0.026475479839978423 (589)
		 Q: 5.843484514766035E-4 (13)
		 R: 0.020362296039915493 (453)
		 S: 0.06850361846541107 (1524)
		 T: 0.009169775700094395 (204)
		 U: 0.05236661122848024 (1165)
		 V: 0.04175843934013575 (929)
		 W: 0.06041263990650425 (1344)
		 X: 4.494988088281566E-5 (1)
		 Z: 0.03600485458713534 (801)
		 Â: 8.989976176563132E-5 (2)
		 Ã: 0.011012720816289836 (245)
	Bigram checksum for   is 0.9999550501191173

	!: 57
		! : 1.0 (57)
	Bigram checksum for ! is 1.0

	": 16
		" : 0.4375 (7)
		".: 0.0625 (1)
		"A: 0.125 (2)
		"C: 0.0625 (1)
		"D: 0.0625 (1)
		"G: 0.0625 (1)
		"L: 0.0625 (1)
		"M: 0.0625 (1)
		"S: 0.0625 (1)
	Bigram checksum for " is 1.0

	%: 15
		% : 0.6 (9)
		%,: 0.13333333333333333 (2)
		%.: 0.26666666666666666 (4)
	Bigram checksum for % is 1.0

	(: 40
		(1: 0.15 (6)
		(9: 0.025 (1)
		(A: 0.1 (4)
		(B: 0.1 (4)
		(C: 0.25 (10)
		(D: 0.15 (6)
		(I: 0.025 (1)
		(K: 0.125 (5)
		(S: 0.075 (3)
	Bigram checksum for ( is 1.0

	): 45
		) : 0.6888888888888889 (31)
		)): 0.15555555555555556 (7)
		),: 0.022222222222222223 (1)
		).: 0.06666666666666667 (3)
		)0: 0.022222222222222223 (1)
		)3: 0.022222222222222223 (1)
		);: 0.022222222222222223 (1)
	Bigram checksum for ) is 1.0

	,: 1754
		, : 0.9971493728620296 (1749)
		,1: 5.701254275940707E-4 (1)
		,5: 0.0011402508551881414 (2)
		,6: 5.701254275940707E-4 (1)
		,7: 5.701254275940707E-4 (1)
	Bigram checksum for , is 0.9999999999999999

	-: 261
		- : 0.5019157088122606 (131)
		-,: 0.06896551724137931 (18)
		-0: 0.06130268199233716 (16)
		-1: 0.034482758620689655 (9)
		-2: 0.05747126436781609 (15)
