UNIGRAM MODEL: 64 distinct characters, 169949 total characters
 : 0.1594890231775415 (27105)
!: 5.88411817662946E-6 (1)
": 7.060941811955351E-5 (12)
%: 8.237765447281243E-5 (14)
(: 2.647853179483257E-4 (45)
): 2.94205908831473E-4 (50)
,: 0.010014769136623339 (1702)
-: 8.178924265514948E-4 (139)
.: 0.006054757603751714 (1029)
/: 2.1182825435866055E-4 (36)
0: 9.355747900840841E-4 (159)
1: 7.884718356683476E-4 (134)
2: 5.413388722499103E-4 (92)
3: 1.1179824535595973E-4 (19)
4: 1.4121883623910702E-4 (24)
5: 2.647853179483257E-4 (45)
6: 1.7063942712225433E-4 (29)
7: 1.1179824535595973E-4 (19)
8: 1.7652354529888378E-4 (30)
9: 9.414589082607135E-4 (160)
:: 2.1182825435866055E-4 (36)
;: 1.6475530894562485E-4 (28)
?: 1.294505998858481E-4 (22)
A: 0.08701433959599644 (14788)
B: 0.009090962582892515 (1545)
C: 0.03532236141430665 (6003)
D: 0.039758986519485257 (6757)
E: 0.11158053298342444 (18963)
F: 0.006048873485575084 (1028)
G: 0.008296606629047538 (1410)
H: 0.00544280931338225 (925)
I: 0.050762287509782344 (8627)
J: 0.002200660198059418 (374)
K: 2.0006001800540162E-4 (34)
L: 0.040635720127803046 (6906)
M: 0.02363650271552054 (4017)
N: 0.05624040153222437 (9558)
O: 0.06983859863841506 (11869)
P: 0.02450146808748507 (4164)
Q: 0.007672890102324815 (1304)
R: 0.05532247909667018 (9402)
S: 0.06473706817927731 (11002)
T: 0.0377113133940182 (6409)
U: 0.029597114428446182 (5030)
V: 0.005760551694920241 (979)
W: 5.8841181766294597E-5 (10)
X: 0.0014827977805106237 (252)
Y: 0.006654937657767919 (1131)
Z: 0.0020006001800540163 (340)
[: 5.88411817662946E-6 (1)
]: 5.88411817662946E-6 (1)
?: 1.7652354529888377E-5 (3)
?: 5.88411817662946E-6 (1)
¡: 0.002589011997716962 (440)
¤: 2.353647270651784E-5 (4)
©: 0.0019476431164643512 (331)
­: 0.00402473683281455 (684)
±: 0.0017711195711654674 (301)
³: 0.007043289457425463 (1197)
º: 6.472529994292405E-4 (110)
¼: 1.176823635325892E-5 (2)
¿: 1.294505998858481E-4 (22)
Â: 1.4121883623910702E-4 (24)
Ã: 0.01807012692042907 (3071)
Unigram checksum is 0.9999999999999999


BIGRAM MODEL: 
	 : 27105
		 ": 2.2136137244050912E-4 (6)
		 (: 0.0011068068622025456 (30)
		 ,: 1.1068068622025456E-4 (3)
		 -: 0.002139826600258255 (58)
		 .: 4.058291828076001E-4 (11)
		 0: 3.689356207341819E-5 (1)
		 1: 0.002988378527946873 (81)
		 2: 0.0021029330381848368 (57)
		 3: 1.8446781036709093E-4 (5)
		 4: 2.2136137244050912E-4 (6)
		 5: 1.1068068622025456E-4 (3)
		 6: 7.378712414683638E-5 (2)
		 7: 7.378712414683638E-5 (2)
		 8: 2.9514849658734553E-4 (8)
		 9: 1.8446781036709093E-4 (5)
		 :: 1.1068068622025456E-4 (3)
		 A: 0.06803172846338314 (1844)
		 B: 0.006751521859435529 (183)
		 C: 0.07098321342925659 (1924)
		 D: 0.1196827153661686 (3244)
		 E: 0.13477218225419665 (3653)
		 F: 0.015827338129496403 (429)
		 G: 0.008448625714812766 (229)
		 H: 0.023722560413207895 (643)
		 I: 0.02095554325770153 (568)
		 J: 0.0019184652278177458 (52)
		 K: 5.902969931746911E-4 (16)
		 L: 0.10049806308799114 (2724)
		 M: 0.03641394576646375 (987)
		 N: 0.024571112340896515 (666)
		 O: 0.01508946688802804 (409)
		 P: 0.09393100903892271 (2546)
		 Q: 0.04194798007747648 (1137)
		 R: 0.030695443645083934 (832)
		 S: 0.07223759453975281 (1958)
		 T: 0.0328721638074156 (891)
		 U: 0.024792473713337024 (672)
		 V: 0.01018262313226342 (276)
		 W: 2.9514849658734553E-4 (8)
		 X: 7.378712414683638E-5 (2)
		 Y: 0.02851872348275226 (773)
		 Z: 0.0011437004242759639 (31)
		 [: 3.689356207341819E-5 (1)
		 Â: 8.485519276886183E-4 (23)
		 Ã: 0.003763143331488655 (102)
	Bigram checksum for   is 0.9999631064379264

	!: 1
		! : 1.0 (1)
	Bigram checksum for ! is 1.0

	": 12
		" : 0.5833333333333334 (7)
		"A: 0.08333333333333333 (1)
		"E: 0.08333333333333333 (1)
		"G: 0.08333333333333333 (1)
		"O: 0.08333333333333333 (1)
		"V: 0.08333333333333333 (1)
	Bigram checksum for " is 1.0000000000000002

	%: 14
		% : 0.5714285714285714 (8)
		%,: 0.07142857142857142 (1)
		%.: 0.35714285714285715 (5)
	Bigram checksum for % is 1.0

	(: 45
		(1: 0.13333333333333333 (6)
		(9: 0.022222222222222223 (1)
		(A: 0.15555555555555556 (7)
		(C: 0.37777777777777777 (17)
		(D: 0.06666666666666667 (3)
		(E: 0.13333333333333333 (6)
		(F: 0.044444444444444446 (2)
		(P: 0.022222222222222223 (1)
		(S: 0.044444444444444446 (2)
	Bigram checksum for ( is 0.9999999999999999

	): 50
		) : 0.62 (31)
		)): 0.14 (7)
		).: 0.08 (4)
		)0: 0.02 (1)
		)3: 0.02 (1)
		);: 0.08 (4)
		)R: 0.02 (1)
		)]: 0.02 (1)
	Bigram checksum for ) is 1.0

	,: 1702
		, : 0.9970622796709753 (1697)
		,1: 5.875440658049354E-4 (1)
		,5: 0.0011750881316098707 (2)
		,6: 5.875440658049354E-4 (1)
		,7: 5.875440658049354E-4 (1)
	Bigram checksum for , is 1.0

	-: 139
